epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,237.908,1.13535,0.91256,1.22362,0.74821,0.82323,0.82731,0.55355,1.20432,0.84239,1.29634,0.006139,0.006139,0.006139
41,243.791,1.12258,0.9089,1.21068,0.7364,0.75872,0.82448,0.55935,1.17062,0.85038,1.29155,0.00604,0.00604,0.00604
42,249.687,1.12753,0.90115,1.2188,0.72533,0.79909,0.80728,0.55873,1.18252,0.8471,1.30256,0.005941,0.005941,0.005941
43,255.592,1.11941,0.88283,1.20914,0.64535,0.78289,0.8031,0.55539,1.16466,0.85006,1.25664,0.005842,0.005842,0.005842
44,261.498,1.11697,0.88541,1.20829,0.83246,0.73227,0.80551,0.56379,1.19671,0.8567,1.292,0.005743,0.005743,0.005743
45,267.396,1.12102,0.87933,1.20804,0.74818,0.79381,0.83481,0.57902,1.17845,0.79503,1.27422,0.005644,0.005644,0.005644
46,273.315,1.10467,0.87309,1.20366,0.79396,0.75992,0.82711,0.56668,1.17675,0.78945,1.27183,0.005545,0.005545,0.005545
47,279.245,1.09652,0.87576,1.19558,0.71886,0.78607,0.81012,0.57247,1.20354,0.8082,1.28575,0.005446,0.005446,0.005446
48,285.167,1.09861,0.86945,1.19871,0.83729,0.75285,0.82872,0.56973,1.15802,0.80001,1.2854,0.005347,0.005347,0.005347
49,291.089,1.10618,0.86395,1.19879,0.75772,0.78487,0.82515,0.57185,1.18647,0.79463,1.28662,0.005248,0.005248,0.005248
50,296.989,1.09432,0.85438,1.19987,0.73901,0.73567,0.78993,0.54756,1.23587,0.86643,1.31972,0.005149,0.005149,0.005149
51,302.919,1.09031,0.83824,1.19606,0.82775,0.70391,0.80839,0.56409,1.2166,0.82247,1.32408,0.00505,0.00505,0.00505
52,308.826,1.08379,0.84148,1.19238,0.73736,0.77685,0.82425,0.55515,1.20742,0.85956,1.30269,0.004951,0.004951,0.004951
53,314.757,1.08511,0.83116,1.19007,0.75631,0.80597,0.84428,0.56766,1.1927,0.81584,1.27783,0.004852,0.004852,0.004852
54,320.654,1.07661,0.82992,1.18345,0.66731,0.80873,0.8075,0.56408,1.19758,0.86558,1.31423,0.004753,0.004753,0.004753
55,326.552,1.06971,0.82144,1.17683,0.82608,0.69941,0.80234,0.57817,1.16741,0.84516,1.29136,0.004654,0.004654,0.004654
56,332.453,1.07063,0.82575,1.18333,0.82748,0.75498,0.82961,0.58462,1.17823,0.78506,1.28981,0.004555,0.004555,0.004555
57,338.37,1.06464,0.8093,1.17762,0.80047,0.76841,0.83221,0.58069,1.19168,0.79301,1.3004,0.004456,0.004456,0.004456
58,344.274,1.06496,0.80168,1.17443,0.84386,0.74886,0.84094,0.57764,1.1616,0.79683,1.26075,0.004357,0.004357,0.004357
59,350.174,1.05955,0.81257,1.17449,0.82995,0.76223,0.83241,0.59075,1.16188,0.78519,1.27453,0.004258,0.004258,0.004258
60,356.079,1.0506,0.79498,1.16987,0.79451,0.75853,0.82841,0.58253,1.19806,0.78225,1.27939,0.004159,0.004159,0.004159
61,362.002,1.04189,0.78097,1.16552,0.85661,0.76448,0.85161,0.60274,1.16679,0.74648,1.27784,0.00406,0.00406,0.00406
62,367.908,1.04838,0.79245,1.17214,0.76811,0.82317,0.86653,0.60047,1.14148,0.76074,1.24767,0.003961,0.003961,0.003961
63,373.816,1.03285,0.77189,1.15662,0.74183,0.7865,0.84456,0.61095,1.14625,0.74141,1.25944,0.003862,0.003862,0.003862
64,379.739,1.03171,0.76774,1.16324,0.84032,0.75823,0.85427,0.59744,1.16267,0.77906,1.28103,0.003763,0.003763,0.003763
65,385.638,1.03354,0.76732,1.1639,0.81956,0.77307,0.83412,0.58894,1.14976,0.76056,1.26078,0.003664,0.003664,0.003664
66,391.588,1.03247,0.76474,1.1601,0.70749,0.85209,0.83045,0.57448,1.20125,0.81748,1.30885,0.003565,0.003565,0.003565
67,397.511,1.02346,0.75824,1.15904,0.76917,0.78305,0.80989,0.583,1.13793,0.78653,1.25809,0.003466,0.003466,0.003466
68,403.421,1.02325,0.76813,1.15167,0.79196,0.81333,0.8521,0.60142,1.18401,0.74881,1.28837,0.003367,0.003367,0.003367
69,409.325,1.01903,0.75684,1.15377,0.78577,0.79177,0.84398,0.59579,1.16393,0.74046,1.26362,0.003268,0.003268,0.003268
70,415.226,1.0142,0.7419,1.14897,0.76684,0.80668,0.85118,0.59939,1.19224,0.77321,1.28444,0.003169,0.003169,0.003169
71,421.131,1.00308,0.73444,1.14384,0.7622,0.79837,0.85479,0.60784,1.16856,0.7467,1.2645,0.00307,0.00307,0.00307
72,427.027,1.0026,0.72872,1.14128,0.78354,0.77689,0.82902,0.59766,1.13294,0.7389,1.24821,0.002971,0.002971,0.002971
73,432.929,1.00955,0.7392,1.14816,0.75129,0.85812,0.84364,0.58459,1.14915,0.75574,1.26096,0.002872,0.002872,0.002872
74,438.841,0.99322,0.72512,1.13735,0.71553,0.81371,0.83871,0.59224,1.14635,0.74309,1.26072,0.002773,0.002773,0.002773
75,444.75,1.00125,0.72007,1.13839,0.83893,0.78928,0.85248,0.59909,1.17104,0.75323,1.25667,0.002674,0.002674,0.002674
76,450.656,0.98347,0.71238,1.13289,0.84808,0.73344,0.83804,0.58743,1.20246,0.76555,1.28691,0.002575,0.002575,0.002575
77,456.563,0.99549,0.72419,1.14045,0.8481,0.8785,0.88903,0.61277,1.14675,0.70625,1.26503,0.002476,0.002476,0.002476
78,462.491,0.99139,0.70485,1.13257,0.78588,0.82477,0.85016,0.59134,1.1745,0.75347,1.29424,0.002377,0.002377,0.002377
79,468.395,0.97384,0.70643,1.13026,0.76464,0.78792,0.8477,0.58351,1.16974,0.74265,1.27755,0.002278,0.002278,0.002278
80,474.293,0.9845,0.70918,1.13452,0.71812,0.80404,0.83851,0.58279,1.16149,0.7799,1.26695,0.002179,0.002179,0.002179
81,480.199,0.97243,0.6994,1.12207,0.80692,0.79864,0.86287,0.59763,1.15513,0.72867,1.25974,0.00208,0.00208,0.00208
82,486.108,0.96955,0.68177,1.1203,0.719,0.79735,0.84574,0.59948,1.16349,0.73879,1.27206,0.001981,0.001981,0.001981
83,492.012,0.96662,0.68593,1.11926,0.83751,0.76885,0.8529,0.5962,1.16987,0.73163,1.29137,0.001882,0.001882,0.001882
84,497.919,0.97253,0.6858,1.1221,0.76745,0.8198,0.84184,0.58952,1.17461,0.76142,1.29356,0.001783,0.001783,0.001783
85,503.831,0.95788,0.68231,1.11472,0.80773,0.79458,0.83815,0.57641,1.19963,0.7245,1.31301,0.001684,0.001684,0.001684
86,509.738,0.96357,0.67672,1.11541,0.78604,0.75459,0.82967,0.57024,1.17135,0.75225,1.28747,0.001585,0.001585,0.001585
87,515.654,0.95313,0.67059,1.11447,0.77712,0.82686,0.8484,0.58838,1.15262,0.72844,1.27306,0.001486,0.001486,0.001486
88,521.549,0.95159,0.66381,1.11132,0.7771,0.77035,0.82648,0.58252,1.1606,0.73773,1.26511,0.001387,0.001387,0.001387
89,527.467,0.94999,0.66824,1.11635,0.80809,0.80188,0.83897,0.59738,1.12845,0.70885,1.25663,0.001288,0.001288,0.001288
90,533.364,0.93896,0.66151,1.11032,0.80818,0.79643,0.84882,0.60018,1.14233,0.69819,1.2645,0.001189,0.001189,0.001189
91,541.038,0.9038,0.58986,1.09899,0.76928,0.78628,0.81676,0.57668,1.15928,0.75204,1.27045,0.00109,0.00109,0.00109
92,546.879,0.86976,0.54536,1.07939,0.75359,0.81904,0.83753,0.6018,1.15935,0.70437,1.26712,0.000991,0.000991,0.000991
93,552.694,0.86223,0.54159,1.08182,0.76761,0.78577,0.82796,0.5758,1.15156,0.74328,1.26638,0.000892,0.000892,0.000892
94,558.504,0.86464,0.53011,1.07627,0.75754,0.7915,0.83641,0.60136,1.149,0.72998,1.26059,0.000793,0.000793,0.000793
95,564.3,0.8548,0.52033,1.06926,0.78768,0.80776,0.8315,0.59484,1.14207,0.69998,1.2574,0.000694,0.000694,0.000694
96,570.093,0.8481,0.51258,1.06832,0.78044,0.79525,0.83722,0.59743,1.13108,0.70564,1.25796,0.000595,0.000595,0.000595
97,575.884,0.83827,0.50616,1.06177,0.79878,0.79334,0.84452,0.58755,1.13699,0.72074,1.26681,0.000496,0.000496,0.000496
